material_type,quantity,distance,vehicle_type,season,fire_risk,delay_risk,weather_risk,overall_risk,premium
paper,9994.77,71.84,Electric Box Truck,winter,0.99,1.11,0.4,0.83,3057.12
battery,3824.17,40.89,Heavy Duty Dump,spring,5.62,0.95,0.76,2.95,2866.33
plastic,8723.68,440.99,Electric Box Truck,spring,0.82,3.81,0.94,1.58,3611.0
paper,7438.26,196.22,Compact Logistics Van,winter,1.27,1.37,1.12,1.2,2912.78
paper,621.47,403.45,Heavy Duty Dump,summer,0.61,4.2,2.18,1.91,2253.74
textile,3915.12,209.03,Electric Box Truck,spring,0.39,1.25,0.0,0.45,1959.31
plastic,9079.45,167.34,Heavy Duty Dump,monsoon,1.21,4.4,4.98,3.16,4059.1
plastic,5308.7,585.85,Flatbed Carrier,summer,0.38,4.08,2.59,1.86,3294.25
metal,2387.98,388.7,Compact Logistics Van,winter,1.44,3.57,1.62,2.19,2679.82
battery,431.23,540.15,Heavy Duty Dump,monsoon,4.89,7.89,5.04,5.5,4002.42
battery,7159.33,563.05,Electric Box Truck,winter,4.65,3.78,1.51,4.15,4634.05
plastic,2543.76,323.14,Compact Logistics Van,summer,0.92,4.2,1.6,2.36,2707.37
metal,2119.16,93.07,Electric Box Truck,spring,0.7,2.6,1.2,1.27,1863.82
paper,4004.02,407.74,Flatbed Carrier,spring,0.82,2.85,0.84,0.7,2325.4
plastic,6962.0,417.16,Electric Box Truck,spring,0.0,3.07,0.94,0.99,2997.58
battery,7658.67,219.02,Electric Box Truck,spring,5.05,2.42,0.22,2.89,3741.97
battery,1824.35,272.87,Compact Logistics Van,spring,4.79,2.84,0.04,2.96,2788.69
plastic,9210.0,113.9,Electric Box Truck,summer,0.77,2.18,2.82,1.41,3227.69
battery,5310.3,586.61,Flatbed Carrier,winter,4.96,2.94,0.42,3.32,3955.51
plastic,4690.7,471.0,Compact Logistics Van,winter,0.78,3.69,1.68,2.06,3138.2
paper,3698.89,556.45,Electric Box Truck,monsoon,0.0,7.27,6.53,3.96,3914.53
battery,2687.45,155.03,Heavy Duty Dump,monsoon,6.75,3.6,7.35,5.86,4108.46
paper,7591.8,551.87,Heavy Duty Dump,monsoon,0.0,7.57,5.59,4.26,4746.95
paper,5823.64,255.21,Heavy Duty Dump,summer,0.74,2.8,2.26,1.47,2816.69
plastic,9514.5,353.16,Flatbed Carrier,winter,0.77,4.87,0.52,2.31,3975.91
paper,4415.01,543.22,Electric Box Truck,winter,1.21,3.29,0.15,1.6,2966.85
plastic,3097.81,360.34,Electric Box Truck,winter,0.0,3.91,1.41,1.45,2441.93
plastic,4212.24,488.42,Compact Logistics Van,monsoon,1.12,5.59,6.41,4.52,4179.28
battery,5253.46,283.34,Heavy Duty Dump,winter,5.18,2.27,1.57,2.34,3140.5
plastic,200.11,255.77,Electric Box Truck,summer,0.13,1.46,1.38,0.61,1416.0
battery,708.63,122.76,Compact Logistics Van,summer,5.41,2.68,2.89,3.64,2713.8
metal,3168.72,201.92,Heavy Duty Dump,winter,0.27,2.38,1.47,1.16,2135.26
paper,9851.61,455.01,Heavy Duty Dump,summer,1.37,4.06,2.05,2.06,4045.07
metal,402.58,168.72,Electric Box Truck,spring,0.89,0.73,0.0,0.46,1280.01
paper,6395.16,86.67,Heavy Duty Dump,summer,0.86,2.2,1.28,1.31,2646.25
battery,8074.48,82.0,Electric Box Truck,monsoon,4.79,5.16,5.78,5.02,4608.74
paper,9789.55,515.36,Flatbed Carrier,spring,0.73,4.92,1.0,2.33,4230.38
battery,4928.5,308.94,Compact Logistics Van,winter,4.8,2.78,1.29,3.64,3696.85
metal,4489.08,148.63,Flatbed Carrier,spring,0.6,2.8,2.09,1.72,2561.18
textile,9622.83,431.5,Flatbed Carrier,winter,0.71,2.92,1.35,1.97,3935.28
paper,3042.45,524.13,Flatbed Carrier,spring,0.18,4.24,1.67,2.62,3153.62
battery,6354.34,156.03,Compact Logistics Van,winter,4.39,1.43,1.41,2.55,3279.04
textile,7380.45,248.67,Electric Box Truck,winter,0.15,2.99,2.09,1.32,3020.61
textile,906.69,131.19,Flatbed Carrier,winter,0.22,1.93,1.4,1.35,1729.04
textile,1193.45,173.93,Electric Box Truck,monsoon,0.67,4.83,6.02,3.22,2672.76
plastic,1210.59,333.19,Compact Logistics Van,summer,0.0,2.86,1.19,1.36,2031.81
plastic,4096.6,165.92,Electric Box Truck,summer,0.0,1.73,2.57,0.77,2085.02
metal,6115.64,55.42,Heavy Duty Dump,monsoon,0.46,4.43,6.12,3.02,3326.97
paper,1102.53,336.49,Heavy Duty Dump,summer,0.05,3.85,1.01,2.33,2450.61
plastic,5352.41,157.22,Electric Box Truck,spring,1.58,1.0,0.13,1.54,2647.08
textile,4199.89,19.08,Compact Logistics Van,monsoon,0.34,2.8,5.93,2.95,2907.63
textile,6249.04,446.25,Electric Box Truck,winter,0.49,4.92,0.5,2.29,3489.98
paper,7534.17,549.58,Compact Logistics Van,monsoon,0.28,5.46,7.05,4.42,4804.18
plastic,6772.62,423.51,Heavy Duty Dump,winter,1.03,3.53,0.96,1.66,3274.26
textile,956.02,547.59,Flatbed Carrier,spring,0.0,3.44,1.96,2.27,2652.05
metal,8872.65,236.14,Compact Logistics Van,monsoon,0.96,4.63,6.2,2.64,3866.34
battery,5310.2,50.39,Electric Box Truck,spring,5.08,1.87,0.0,2.7,3033.22
paper,9169.52,517.3,Electric Box Truck,winter,0.29,4.68,1.2,2.24,4077.5
metal,5094.43,325.67,Flatbed Carrier,spring,0.3,3.75,1.9,1.81,2924.27
metal,414.75,187.62,Compact Logistics Van,monsoon,0.49,4.39,5.7,3.8,2810.61
metal,4206.02,555.18,Heavy Duty Dump,winter,1.24,3.84,1.49,2.31,3265.03
battery,1282.23,180.62,Compact Logistics Van,winter,5.05,0.58,0.0,2.41,2330.09
metal,8319.84,475.68,Flatbed Carrier,summer,0.0,2.29,2.42,1.42,3506.18
plastic,3322.37,543.1,Electric Box Truck,monsoon,0.26,7.54,6.87,4.47,4061.56
plastic,3578.86,282.49,Electric Box Truck,spring,0.0,1.56,0.54,1.22,2332.62
textile,1819.79,11.18,Electric Box Truck,spring,0.56,2.45,0.83,1.38,1760.76
metal,6419.46,353.46,Electric Box Truck,spring,0.17,1.95,0.69,0.6,2647.69
battery,3489.6,452.14,Compact Logistics Van,winter,4.98,3.44,1.32,3.57,3575.83
battery,7025.01,424.27,Heavy Duty Dump,spring,3.68,3.12,1.2,3.14,3986.07
textile,7026.95,302.47,Heavy Duty Dump,spring,0.68,2.48,0.39,1.14,2942.46
metal,8977.61,130.55,Heavy Duty Dump,monsoon,0.35,4.61,7.57,3.35,4080.48
textile,2374.62,431.64,Compact Logistics Van,spring,0.96,4.02,0.87,2.5,2869.44
plastic,4953.93,206.84,Heavy Duty Dump,monsoon,0.0,4.87,5.52,3.09,3331.37
plastic,8074.67,542.05,Compact Logistics Van,summer,0.92,1.91,1.64,1.52,3587.36
metal,5231.01,593.64,Compact Logistics Van,winter,0.12,3.89,1.42,2.24,3462.2
paper,4749.54,436.42,Electric Box Truck,monsoon,0.83,5.27,5.88,3.67,3831.47
paper,1134.64,71.17,Compact Logistics Van,spring,0.0,2.81,1.72,2.46,2196.95
metal,7633.32,18.63,Flatbed Carrier,winter,0.1,2.3,0.26,1.33,2795.13
textile,1755.05,162.36,Flatbed Carrier,monsoon,1.23,4.53,6.08,4.14,3174.2
metal,3207.66,254.83,Flatbed Carrier,summer,1.18,0.87,2.23,0.91,2093.7
metal,4363.54,545.62,Compact Logistics Van,monsoon,0.05,7.94,6.31,4.71,4357.75
plastic,2865.07,418.49,Flatbed Carrier,monsoon,0.59,6.54,5.29,3.43,3359.27
paper,4738.52,174.29,Flatbed Carrier,winter,0.81,2.29,1.21,1.36,2475.38
paper,7781.89,451.22,Heavy Duty Dump,winter,0.41,2.07,0.66,0.36,2902.17
battery,8278.4,381.72,Electric Box Truck,summer,4.82,4.05,2.04,3.18,4180.15
textile,4476.91,403.4,Electric Box Truck,summer,0.87,3.49,3.47,1.97,2974.55
textile,3317.42,577.08,Flatbed Carrier,monsoon,0.35,7.76,5.38,4.53,4128.1
battery,252.39,563.66,Heavy Duty Dump,spring,4.17,2.64,1.12,2.55,2671.48
battery,4534.48,427.36,Flatbed Carrier,spring,5.25,2.02,1.22,2.23,3133.15
battery,4799.0,271.41,Electric Box Truck,winter,4.94,3.26,1.0,3.54,3582.57
battery,8361.75,223.83,Electric Box Truck,summer,4.74,2.24,2.11,3.22,4023.77
metal,5635.94,451.2,Flatbed Carrier,winter,0.0,2.94,1.06,0.99,2799.8
plastic,8406.2,110.14,Compact Logistics Van,summer,0.76,2.62,2.51,2.04,3363.96
paper,9617.02,326.2,Compact Logistics Van,summer,0.0,2.38,1.01,1.23,3476.89
paper,969.87,446.93,Compact Logistics Van,winter,1.31,3.84,1.12,2.31,2550.42
battery,2270.07,519.17,Flatbed Carrier,winter,5.31,2.95,1.54,3.22,3280.68
battery,2165.42,137.57,Heavy Duty Dump,monsoon,5.81,5.81,5.79,5.46,3811.85
textile,9758.36,492.01,Compact Logistics Van,summer,0.17,3.32,1.6,1.26,3714.57
paper,741.18,566.01,Compact Logistics Van,winter,1.12,1.8,0.75,1.02,2071.06
textile,2478.56,86.51,Flatbed Carrier,winter,1.18,0.52,0.77,0.99,1797.66
metal,8327.28,426.94,Electric Box Truck,winter,0.46,2.16,0.58,1.41,3445.38
battery,230.78,112.8,Flatbed Carrier,spring,5.16,1.53,1.93,2.8,2237.51
textile,4302.35,280.47,Heavy Duty Dump,spring,1.42,3.05,1.29,2.02,2818.59
textile,9896.62,534.82,Compact Logistics Van,summer,0.48,2.55,1.97,2.23,4225.51
paper,6932.98,398.27,Heavy Duty Dump,monsoon,0.35,6.19,5.57,4.34,4479.85
textile,8920.86,492.54,Electric Box Truck,monsoon,0.55,7.84,5.84,4.73,5123.43
paper,5616.09,229.58,Compact Logistics Van,monsoon,0.61,4.27,5.65,2.88,3383.96
paper,5009.5,249.87,Compact Logistics Van,summer,1.19,3.75,0.77,2.21,2994.12
battery,9401.17,537.45,Compact Logistics Van,spring,5.26,4.99,2.49,5.25,5501.48
paper,206.4,523.69,Electric Box Truck,spring,1.18,4.17,0.91,1.52,2150.76
textile,1119.01,296.82,Electric Box Truck,monsoon,0.17,4.9,5.96,3.68,3014.31
plastic,7770.66,424.47,Flatbed Carrier,summer,0.54,4.41,2.22,2.27,3730.37
metal,4099.08,498.26,Heavy Duty Dump,monsoon,0.57,4.79,6.46,3.69,3795.67
metal,7780.82,82.81,Compact Logistics Van,winter,0.86,1.05,1.39,1.38,2920.79
plastic,3492.87,284.75,Heavy Duty Dump,summer,0.61,2.81,1.25,1.65,2512.02
battery,7557.54,84.04,Heavy Duty Dump,spring,5.38,0.53,1.45,2.79,3515.69
metal,3316.89,452.16,Flatbed Carrier,summer,0.38,2.89,1.0,1.05,2413.27
textile,9622.62,404.04,Flatbed Carrier,monsoon,0.85,4.85,5.3,3.84,4745.77
metal,6272.24,363.78,Compact Logistics Van,winter,0.84,2.62,0.66,0.51,2596.12
metal,7217.29,426.69,Flatbed Carrier,winter,0.2,2.95,0.02,0.81,2976.55
metal,9918.62,329.19,Compact Logistics Van,winter,0.46,3.21,0.71,1.19,3515.27
paper,2874.91,211.44,Heavy Duty Dump,spring,0.63,2.64,0.52,0.98,2010.83
textile,1325.01,565.5,Heavy Duty Dump,monsoon,1.05,6.74,6.5,4.01,3519.74
metal,8976.52,546.41,Flatbed Carrier,winter,0.0,4.47,0.7,1.35,3680.71
metal,6117.21,519.25,Compact Logistics Van,summer,0.47,2.55,2.21,1.32,3120.33
metal,3139.43,361.69,Electric Box Truck,spring,0.96,2.89,1.76,1.44,2446.73
paper,5897.89,72.45,Flatbed Carrier,summer,1.45,1.54,2.84,1.07,2430.84
paper,305.95,497.67,Heavy Duty Dump,winter,0.59,2.76,0.38,1.14,1964.88
textile,5933.77,143.5,Flatbed Carrier,winter,0.85,2.51,1.59,1.7,2804.01
paper,1212.0,111.79,Flatbed Carrier,winter,0.67,1.43,0.0,0.35,1311.2
paper,467.05,318.92,Electric Box Truck,winter,0.51,2.75,1.25,1.09,1756.07
metal,8270.81,494.21,Electric Box Truck,monsoon,0.0,5.35,5.65,3.72,4554.14
metal,1729.15,502.41,Compact Logistics Van,summer,0.57,4.18,1.82,1.92,2578.19
textile,3969.19,280.88,Heavy Duty Dump,winter,0.6,2.76,0.69,1.29,2431.67
textile,3255.66,157.37,Flatbed Carrier,winter,0.0,2.66,0.57,0.66,1873.32
battery,7781.01,35.98,Flatbed Carrier,spring,4.39,1.72,1.25,2.71,3464.4
paper,8183.78,370.98,Heavy Duty Dump,monsoon,0.27,5.62,5.36,2.69,3927.35
metal,5470.27,174.08,Flatbed Carrier,monsoon,0.73,3.47,5.74,2.84,3271.15
textile,7159.12,66.48,Compact Logistics Van,winter,0.95,0.94,0.97,0.69,2481.0
metal,3302.55,178.56,Electric Box Truck,summer,0.39,1.82,1.71,1.75,2398.17
metal,8279.82,96.4,Heavy Duty Dump,summer,1.1,1.59,0.82,0.72,2728.89
metal,8473.28,295.57,Compact Logistics Van,spring,0.84,1.07,0.86,0.88,3075.69
battery,8319.18,430.58,Compact Logistics Van,winter,4.44,2.56,1.27,2.78,4065.0
battery,9478.21,246.13,Compact Logistics Van,monsoon,5.04,4.96,6.77,5.97,5487.51
plastic,3184.03,126.88,Electric Box Truck,monsoon,0.4,5.39,6.51,3.73,3203.74
plastic,1770.21,110.85,Compact Logistics Van,monsoon,0.69,4.76,5.88,3.17,2676.88
plastic,713.43,104.18,Compact Logistics Van,summer,0.48,1.47,1.35,0.68,1360.02
metal,9279.35,257.58,Electric Box Truck,monsoon,0.54,4.87,5.78,3.38,4300.87
metal,9478.21,471.15,Flatbed Carrier,monsoon,0.91,5.52,6.57,3.21,4513.86
metal,806.48,325.87,Flatbed Carrier,monsoon,0.22,5.94,5.16,3.44,2884.5
paper,4375.99,501.09,Heavy Duty Dump,monsoon,0.15,5.94,5.93,3.26,3656.27
textile,6339.28,179.52,Flatbed Carrier,winter,1.11,0.9,1.22,1.28,2734.59
textile,3477.13,242.8,Electric Box Truck,winter,0.63,1.27,1.37,1.33,2313.59
paper,5564.67,443.0,Flatbed Carrier,winter,0.01,3.02,1.23,1.12,2838.33
textile,3507.82,483.68,Flatbed Carrier,summer,0.0,2.54,2.52,1.65,2756.37
plastic,1582.85,331.89,Electric Box Truck,summer,0.56,2.36,1.5,1.41,2118.4
paper,2852.31,57.93,Electric Box Truck,spring,0.95,2.75,0.75,1.72,2155.02
textile,7726.45,266.27,Electric Box Truck,summer,1.27,3.22,3.34,2.48,3625.31
textile,4410.3,174.57,Flatbed Carrier,monsoon,0.61,4.2,5.0,3.07,3183.18
plastic,8921.15,595.26,Heavy Duty Dump,monsoon,0.83,6.4,6.35,4.0,4919.6
paper,797.87,179.82,Electric Box Truck,monsoon,0.0,4.62,5.98,3.03,2524.52
metal,2486.66,378.94,Heavy Duty Dump,summer,0.64,2.1,1.49,1.84,2528.3
metal,6022.59,252.71,Heavy Duty Dump,winter,0.54,2.02,1.26,1.36,2797.22
paper,7819.06,406.98,Compact Logistics Van,winter,1.65,2.93,0.75,2.27,3715.57
paper,6001.77,107.88,Flatbed Carrier,winter,0.86,0.0,1.23,0.84,2385.79
paper,9916.24,438.83,Flatbed Carrier,winter,0.94,2.8,1.78,2.48,4229.27
textile,2865.15,138.56,Compact Logistics Van,spring,1.11,3.08,1.7,1.38,2102.18
textile,3558.76,89.4,Compact Logistics Van,spring,0.12,1.68,1.92,0.86,1936.89
battery,3128.07,535.81,Heavy Duty Dump,monsoon,5.29,5.16,6.8,5.79,4613.26
metal,6149.93,239.35,Heavy Duty Dump,winter,0.36,1.7,0.98,1.06,2670.35
textile,1058.97,48.83,Compact Logistics Van,summer,0.0,0.93,0.81,0.42,1237.23
metal,6790.57,412.49,Heavy Duty Dump,winter,0.67,2.31,1.13,0.89,2917.81
paper,5811.9,161.48,Flatbed Carrier,winter,0.56,1.67,1.67,1.52,2723.58
paper,4541.73,374.09,Electric Box Truck,monsoon,0.35,5.68,7.53,3.85,3797.69
paper,7760.82,394.62,Compact Logistics Van,monsoon,0.49,6.33,6.23,3.89,4420.83
metal,5081.67,416.69,Electric Box Truck,winter,0.96,1.85,1.95,1.75,3003.41
battery,9095.81,597.97,Compact Logistics Van,summer,4.65,4.92,2.03,4.22,5055.31
textile,3294.58,43.56,Heavy Duty Dump,spring,0.0,2.2,0.42,1.44,2092.52
plastic,6825.83,191.27,Compact Logistics Van,summer,1.22,2.16,2.46,1.17,2783.99
plastic,3902.82,46.6,Flatbed Carrier,spring,0.0,1.25,0.0,0.1,1603.78
textile,8752.02,276.73,Heavy Duty Dump,monsoon,0.09,7.16,5.42,2.91,4018.45
plastic,9416.94,392.77,Electric Box Truck,spring,0.46,2.01,1.87,2.07,3898.25
battery,3513.23,84.83,Heavy Duty Dump,winter,5.25,0.84,2.3,3.52,3117.98
plastic,1166.22,78.72,Compact Logistics Van,monsoon,0.64,2.91,6.53,3.76,2797.37
plastic,4083.86,184.83,Compact Logistics Van,monsoon,0.39,4.0,5.55,3.09,3147.37
metal,4805.17,306.47,Electric Box Truck,summer,1.01,2.01,1.86,1.84,2861.17
metal,2915.28,565.12,Heavy Duty Dump,monsoon,0.78,6.17,5.94,3.75,3689.94
textile,4342.03,597.43,Electric Box Truck,spring,0.76,5.01,1.5,2.12,3251.78
paper,8180.99,175.4,Electric Box Truck,spring,1.5,1.21,0.67,1.1,2979.8
battery,2054.98,281.01,Electric Box Truck,spring,4.87,1.31,0.62,2.2,2496.77
metal,8037.88,337.27,Compact Logistics Van,monsoon,1.12,6.15,5.09,4.52,4684.02
paper,4268.22,18.46,Heavy Duty Dump,spring,0.75,1.54,1.47,1.0,2041.26
battery,6731.92,57.26,Heavy Duty Dump,monsoon,4.81,3.96,5.71,4.32,4024.93
paper,4098.38,311.91,Flatbed Carrier,monsoon,1.04,5.26,6.01,3.33,3410.51
textile,452.93,336.44,Compact Logistics Van,spring,0.24,2.42,0.0,1.36,1899.46
metal,9470.51,506.88,Compact Logistics Van,spring,0.0,3.63,1.19,1.5,3787.44
metal,9294.91,63.77,Compact Logistics Van,summer,0.02,1.72,1.9,0.93,2967.13
plastic,4271.34,24.16,Heavy Duty Dump,winter,0.56,1.53,0.45,1.27,2168.87
textile,2521.86,67.21,Electric Box Truck,summer,0.81,2.17,1.16,2.38,2405.54
paper,912.8,175.55,Heavy Duty Dump,monsoon,0.75,4.6,5.7,3.63,2808.13
plastic,6381.03,446.41,Electric Box Truck,monsoon,0.2,6.89,5.54,4.37,4449.33
paper,8080.82,521.19,Heavy Duty Dump,spring,0.1,3.95,1.77,0.87,3270.63
textile,6262.38,345.45,Electric Box Truck,winter,1.14,3.23,1.31,2.47,3453.39
metal,9089.01,595.0,Heavy Duty Dump,summer,1.18,3.04,0.42,1.3,3736.92
textile,6019.05,349.6,Heavy Duty Dump,spring,1.78,1.66,0.16,1.4,2931.35
battery,8309.49,160.18,Flatbed Carrier,summer,5.02,1.72,2.71,3.01,3842.03
plastic,8003.19,443.66,Compact Logistics Van,spring,0.0,3.19,0.68,0.53,3013.31
plastic,7001.37,117.82,Electric Box Truck,summer,0.92,1.45,1.81,1.27,2771.56
battery,5931.31,565.47,Flatbed Carrier,spring,4.55,3.78,1.51,4.26,4461.77
textile,1428.68,159.63,Heavy Duty Dump,winter,0.48,0.37,1.14,0.25,1361.61
metal,6344.29,486.95,Heavy Duty Dump,winter,0.0,2.75,0.43,0.76,2867.99
paper,7948.77,236.99,Heavy Duty Dump,spring,1.3,3.53,1.34,1.66,3260.32
metal,5277.16,136.26,Compact Logistics Van,winter,1.12,1.36,1.64,1.59,2629.42
paper,2806.78,206.34,Heavy Duty Dump,winter,0.99,3.04,1.11,1.7,2317.15
textile,9331.06,598.2,Electric Box Truck,spring,0.82,3.7,0.83,1.87,4039.12
battery,9051.59,24.52,Compact Logistics Van,winter,4.09,0.28,2.21,2.44,3555.24
paper,2254.96,586.17,Flatbed Carrier,spring,0.41,4.25,1.42,2.16,2879.95
plastic,1688.48,203.85,Flatbed Carrier,spring,1.46,1.18,0.51,1.65,2089.54
battery,4389.17,390.68,Compact Logistics Van,spring,4.75,1.82,0.5,2.34,3111.91
plastic,3828.28,453.25,Flatbed Carrier,monsoon,0.33,6.56,5.93,4.06,3860.77
battery,7922.11,542.92,Electric Box Truck,winter,4.82,5.72,1.47,4.12,4730.32
battery,7893.82,171.48,Electric Box Truck,winter,4.8,1.74,0.32,2.82,3697.5
battery,3199.26,47.57,Flatbed Carrier,summer,4.99,1.13,2.15,2.75,2672.67
battery,8157.07,567.99,Compact Logistics Van,summer,5.51,4.54,1.31,4.29,4880.16
battery,6455.84,191.22,Flatbed Carrier,monsoon,5.27,5.74,5.27,6.09,4930.7
textile,5208.91,366.54,Flatbed Carrier,winter,0.69,3.13,0.64,1.54,2868.38
paper,4794.14,426.32,Heavy Duty Dump,monsoon,0.28,5.5,6.19,3.22,3621.31
metal,662.53,577.24,Flatbed Carrier,summer,0.0,4.52,2.6,1.84,2441.63
textile,1564.69,16.32,Heavy Duty Dump,spring,0.47,1.26,0.18,0.12,1154.26
metal,1841.11,282.93,Flatbed Carrier,monsoon,0.39,4.63,5.91,3.06,2848.35
metal,918.97,401.26,Compact Logistics Van,summer,0.0,1.58,1.63,1.19,1984.35
metal,6557.72,257.19,Heavy Duty Dump,winter,0.93,1.62,0.0,0.92,2701.51
plastic,9958.2,266.8,Compact Logistics Van,winter,0.27,2.21,0.78,0.46,3121.65
plastic,1232.97,336.76,Electric Box Truck,winter,0.91,2.23,1.5,1.85,2256.48
plastic,7295.49,558.0,Heavy Duty Dump,spring,0.52,2.96,0.26,0.58,3041.91
plastic,7243.44,75.26,Compact Logistics Van,winter,0.45,1.01,0.66,1.12,2696.62
textile,6927.84,490.89,Heavy Duty Dump,monsoon,0.85,7.35,6.02,4.15,4504.97
paper,9890.64,295.11,Electric Box Truck,monsoon,0.09,6.13,6.14,3.73,4610.84
paper,8656.64,167.57,Electric Box Truck,summer,0.29,2.52,1.2,1.3,3142.72
plastic,3055.34,256.26,Electric Box Truck,spring,0.0,2.21,0.91,0.81,2020.18
plastic,3283.36,407.67,Flatbed Carrier,summer,0.62,3.39,1.42,1.21,2426.16
metal,9112.41,122.18,Compact Logistics Van,spring,0.1,1.68,0.88,0.89,2989.3
textile,4931.94,135.25,Compact Logistics Van,spring,0.5,2.68,1.03,1.41,2486.19
paper,3031.89,232.46,Compact Logistics Van,summer,0.0,2.29,1.46,1.33,2223.96
textile,4582.57,499.59,Electric Box Truck,winter,1.37,2.74,0.85,1.25,2786.68
battery,3898.16,253.97,Flatbed Carrier,monsoon,4.93,5.6,6.33,5.5,4281.3
textile,5136.15,499.2,Compact Logistics Van,monsoon,0.28,8.36,6.94,4.65,4417.82
battery,2081.76,96.15,Heavy Duty Dump,spring,5.59,1.87,0.88,2.85,2571.81
paper,6429.32,220.02,Flatbed Carrier,summer,1.12,2.4,1.42,1.47,2882.94
metal,9683.88,398.08,Flatbed Carrier,winter,0.57,3.54,1.96,1.94,3895.84
paper,2200.06,286.73,Electric Box Truck,summer,0.34,3.07,1.33,1.92,2402.2
metal,7307.81,222.63,Heavy Duty Dump,summer,0.61,0.99,2.13,0.61,2655.04
textile,8519.45,244.39,Compact Logistics Van,summer,0.23,3.08,2.1,1.26,3195.65
metal,7467.35,332.54,Flatbed Carrier,spring,1.27,4.59,0.72,1.93,3412.12
textile,6073.86,128.75,Electric Box Truck,spring,1.84,1.7,0.63,1.48,2712.13
textile,2719.21,284.37,Heavy Duty Dump,monsoon,0.65,5.56,4.89,3.04,2999.16
paper,6317.56,499.34,Flatbed Carrier,summer,0.55,4.16,1.64,1.26,3103.2
battery,4450.2,510.6,Flatbed Carrier,winter,5.7,4.12,1.26,4.04,4033.67
plastic,702.38,247.11,Compact Logistics Van,winter,1.31,1.98,1.8,1.09,1714.44
plastic,2347.44,76.58,Electric Box Truck,monsoon,0.27,4.37,5.49,2.96,2647.93
paper,7208.23,574.71,Electric Box Truck,winter,0.97,3.83,2.11,2.26,3804.77
metal,6733.97,311.47,Compact Logistics Van,winter,0.0,1.61,0.4,0.48,2600.73
metal,1700.82,439.59,Flatbed Carrier,monsoon,0.94,6.81,6.04,4.39,3607.19
metal,9379.9,314.25,Heavy Duty Dump,winter,0.68,3.44,0.39,1.19,3400.38
battery,3532.04,523.09,Flatbed Carrier,spring,5.27,3.96,0.83,3.03,3428.29
metal,7450.7,475.52,Heavy Duty Dump,monsoon,0.28,5.8,7.0,4.0,4512.2
plastic,5685.5,516.18,Compact Logistics Van,spring,0.79,3.51,1.2,1.8,3252.71
paper,1108.61,324.01,Electric Box Truck,summer,0.56,2.48,1.95,2.1,2335.09
paper,1910.98,427.38,Heavy Duty Dump,summer,0.59,3.85,1.5,2.07,2590.4
textile,6733.52,377.79,Flatbed Carrier,winter,2.08,1.99,1.15,0.94,2887.64
metal,8168.85,161.91,Compact Logistics Van,spring,0.57,0.0,1.26,0.85,2847.13
textile,1541.08,51.13,Compact Logistics Van,winter,0.0,0.61,1.46,0.83,1510.78
textile,4852.74,208.43,Flatbed Carrier,summer,0.51,1.83,1.94,2.02,2830.98
metal,6793.01,208.99,Electric Box Truck,spring,0.33,0.63,1.9,0.84,2650.98
paper,1240.37,504.11,Compact Logistics Van,summer,0.51,2.4,1.41,1.43,2269.68
metal,4142.61,260.72,Flatbed Carrier,spring,0.69,3.7,0.86,1.31,2447.9
paper,4600.97,350.79,Electric Box Truck,summer,0.0,1.86,1.83,0.78,2400.45
metal,4161.57,596.03,Electric Box Truck,summer,0.85,6.18,2.09,2.09,3205.25
metal,6381.55,278.83,Flatbed Carrier,summer,0.1,3.16,2.31,1.59,2998.97
textile,1310.34,111.43,Compact Logistics Van,spring,0.0,1.0,0.43,0.44,1369.05
paper,9081.09,448.63,Electric Box Truck,spring,0.71,3.87,0.75,2.05,3894.91
paper,8059.98,104.75,Heavy Duty Dump,spring,0.81,0.83,0.45,0.25,2490.23
metal,4867.96,405.16,Compact Logistics Van,winter,0.95,1.85,0.77,0.75,2501.35
paper,2412.74,373.81,Heavy Duty Dump,monsoon,0.32,4.26,5.77,3.01,3039.23
textile,9860.88,504.78,Flatbed Carrier,spring,0.0,2.8,1.0,0.92,3594.49
textile,9149.65,238.9,Compact Logistics Van,monsoon,0.0,6.33,5.93,3.77,4428.99
plastic,2308.53,380.21,Heavy Duty Dump,winter,0.12,2.05,0.14,0.48,1887.73
metal,3184.01,589.94,Electric Box Truck,winter,1.11,3.56,1.63,1.92,2946.89
metal,7460.52,330.12,Heavy Duty Dump,monsoon,0.82,4.4,5.33,3.24,3994.86
metal,7475.23,144.72,Compact Logistics Van,winter,0.38,0.21,0.73,0.02,2326.91
battery,762.44,354.15,Electric Box Truck,summer,5.15,1.89,1.47,3.79,3068.08
plastic,2966.68,355.33,Flatbed Carrier,summer,0.52,3.93,1.51,2.27,2783.57
battery,5119.06,546.86,Compact Logistics Van,summer,5.67,4.03,1.92,4.49,4400.34
paper,4859.54,456.59,Heavy Duty Dump,summer,0.02,3.14,1.81,1.66,2971.14
textile,809.61,495.39,Compact Logistics Van,spring,0.54,1.44,1.27,1.42,2180.88
textile,2088.23,86.15,Compact Logistics Van,winter,0.42,2.64,0.64,0.96,1710.39
paper,3883.35,494.12,Flatbed Carrier,summer,0.0,3.07,1.96,1.25,2654.7
metal,7154.78,590.39,Flatbed Carrier,spring,0.64,3.54,0.49,1.23,3351.06
textile,976.29,37.76,Electric Box Truck,spring,0.32,0.17,0.96,0.76,1361.82
