material,source_industry,destination_industry,quantity_tons,purity,transport_distance_km,market_price_per_ton,processing_cost_per_ton,transport_cost_per_km,revenue,processing_cost,transport_cost,total_cost,net_profit,roi_percent,profitability
Paper Sludge,Paper,Brick Manufacturing,93.15,98,468,104.25,12.79,1.2,9710.89,1191.39,561.6,1752.99,7957.9,453.96,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,83.31,89,359,1210.5,292.0,2.21,100846.76,24326.52,793.39,25119.91,75726.85,301.46,Excellent
Plastic Scrap,Packaging,Plastic Recycling,72.03,88,350,294.8,39.2,1.83,21234.44,2823.58,640.5,3464.08,17770.36,512.99,Excellent
Steel Slag,Steel,Construction,99.17,85,160,112.62,15.0,1.12,11168.53,1487.55,179.2,1666.75,9501.78,570.08,Excellent
Fly Ash,Thermal Power,Cement,22.06,99,348,97.65,10.88,2.45,2154.16,240.01,852.6,1092.61,1061.55,97.16,Excellent
Steel Slag,Steel,Construction,32.11,93,263,116.03,14.2,2.19,3725.72,455.96,575.97,1031.93,2693.79,261.04,Excellent
Paper Sludge,Paper,Brick Manufacturing,33.91,86,336,99.75,13.91,2.29,3382.52,471.69,769.44,1241.13,2141.39,172.54,Excellent
Fly Ash,Thermal Power,Cement,64.67,84,23,92.4,12.08,2.14,5975.51,781.21,49.22,830.43,5145.08,619.57,Excellent
Paper Sludge,Paper,Brick Manufacturing,41.54,98,425,104.25,12.79,2.1,4330.55,531.3,892.5,1423.8,2906.75,204.15,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,20.47,73,483,657.8,194.4,1.37,13465.17,3979.37,661.71,4641.08,8824.09,190.13,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,77.84,71,356,1129.5,328.0,2.4,87920.28,25531.52,854.4,26385.92,61534.36,233.21,Excellent
Glass Waste,Glass,Glass Recycling,17.68,98,84,139.0,20.09,2.07,2457.52,355.19,173.88,529.07,1928.45,364.5,Excellent
Cotton Scrap,Textile,Paper,93.71,84,416,237.6,35.23,2.01,22265.5,3301.4,836.16,4137.56,18127.94,438.13,Excellent
Cotton Scrap,Textile,Paper,41.08,80,66,234.0,36.17,1.55,9612.72,1485.86,102.3,1588.16,8024.56,505.27,Excellent
Fly Ash,Thermal Power,Cement,25.17,76,163,89.6,12.72,1.84,2255.23,320.16,299.92,620.08,1635.15,263.7,Excellent
Paper Sludge,Paper,Brick Manufacturing,47.14,94,186,102.75,13.16,1.15,4843.64,620.36,213.9,834.26,4009.38,480.59,Excellent
Bagasse,Sugar,Paper,2.09,85,223,145.75,18.0,1.46,304.62,37.62,325.58,363.2,-58.58,-16.13,Loss
Fly Ash,Thermal Power,Cement,72.34,79,50,90.65,12.48,2.12,6557.62,902.8,106.0,1008.8,5548.82,550.04,Excellent
Steel Slag,Steel,Construction,75.66,82,353,111.35,15.3,0.89,8424.74,1157.6,314.17,1471.77,6952.97,472.42,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,81.37,80,424,1170.0,310.0,1.07,95202.9,25224.7,453.68,25678.38,69524.52,270.75,Excellent
Paper Sludge,Paper,Brick Manufacturing,9.92,80,362,97.5,14.47,1.07,967.2,143.54,387.34,530.88,436.32,82.19,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,33.71,99,303,725.4,163.2,1.07,24453.23,5501.47,324.21,5825.68,18627.55,319.75,Excellent
Paper Sludge,Paper,Brick Manufacturing,95.3,83,471,98.62,14.19,0.95,9398.49,1352.31,447.45,1799.76,7598.73,422.21,Excellent
Glass Waste,Glass,Glass Recycling,91.81,84,441,132.0,22.15,1.94,12118.92,2033.59,855.54,2889.13,9229.79,319.47,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,52.88,99,459,1255.5,272.0,1.26,66390.84,14383.36,578.34,14961.7,51429.14,343.74,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,12.6,83,404,683.8,182.4,1.13,8615.88,2298.24,456.52,2754.76,5861.12,212.76,Excellent
Steel Slag,Steel,Construction,46.57,86,499,113.05,14.9,2.01,5264.74,693.89,1002.99,1696.88,3567.86,210.26,Excellent
Steel Slag,Steel,Construction,55.11,71,258,106.67,16.4,0.86,5878.58,903.8,221.88,1125.68,4752.9,422.22,Excellent
Rice Husk,Agriculture,Biofuel,89.51,96,246,131.1,18.53,1.48,11734.76,1658.62,364.08,2022.7,9712.06,480.15,Excellent
Steel Slag,Steel,Construction,13.16,88,468,113.9,14.7,1.26,1498.92,193.45,589.68,783.13,715.79,91.4,Excellent
Plastic Scrap,Packaging,Plastic Recycling,23.43,91,209,298.1,38.4,0.88,6984.48,899.71,183.92,1083.63,5900.85,544.54,Excellent
Food Waste,Food,Biogas,89.4,74,102,76.2,10.73,0.89,6812.28,959.26,90.78,1050.04,5762.24,548.76,Excellent
Bagasse,Sugar,Paper,33.01,91,223,149.05,17.28,2.03,4920.14,570.41,452.69,1023.1,3897.04,380.91,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,90.67,89,184,1210.5,292.0,1.82,109756.04,26475.64,334.88,26810.52,82945.52,309.38,Excellent
Rice Husk,Agriculture,Biofuel,16.47,81,12,123.98,20.53,1.62,2041.95,338.13,19.44,357.57,1684.38,471.06,Excellent
Bagasse,Sugar,Paper,27.74,74,227,139.7,19.32,1.61,3875.28,535.94,365.47,901.41,2973.87,329.91,Excellent
Bagasse,Sugar,Paper,58.35,79,101,142.45,18.72,1.54,8311.96,1092.31,155.54,1247.85,7064.11,566.1,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,20.86,81,466,1174.5,308.0,2.37,24500.07,6424.88,1104.42,7529.3,16970.77,225.4,Excellent
Paper Sludge,Paper,Brick Manufacturing,99.16,93,183,102.38,13.25,1.22,10152.0,1313.87,223.26,1537.13,8614.87,560.45,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,94.98,83,280,1183.5,304.0,1.32,112408.83,28873.92,369.6,29243.52,83165.31,284.39,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,93.02,75,166,1147.5,320.0,1.34,106740.45,29766.4,222.44,29988.84,76751.61,255.93,Excellent
Used Oil,Automotive,Authorized Oil Recycler,11.95,87,53,600.75,118.4,1.03,7178.96,1414.88,54.59,1469.47,5709.49,388.54,Excellent
Cotton Scrap,Textile,Paper,52.54,89,320,242.1,34.07,1.71,12719.93,1790.04,547.2,2337.24,10382.69,444.23,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,89.07,76,91,665.6,190.8,1.03,59284.99,16994.56,93.73,17088.29,42196.7,246.93,Excellent
Plastic Scrap,Packaging,Plastic Recycling,29.57,85,124,291.5,40.0,1.63,8619.66,1182.8,202.12,1384.92,7234.74,522.39,Excellent
Used Oil,Automotive,Authorized Oil Recycler,11.92,79,102,582.75,124.8,1.04,6946.38,1487.62,106.08,1593.7,5352.68,335.86,Excellent
Steel Slag,Steel,Construction,6.56,87,29,113.47,14.8,0.89,744.36,97.09,25.81,122.9,621.46,505.66,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,94.08,72,101,655.2,195.6,2.2,61641.22,18402.05,222.2,18624.25,43016.97,230.97,Excellent
Steel Slag,Steel,Construction,14.55,82,122,111.35,15.3,0.98,1620.14,222.62,119.56,342.18,1277.96,373.48,Excellent
Paper Sludge,Paper,Brick Manufacturing,81.61,81,56,97.88,14.37,1.55,7987.99,1172.74,86.8,1259.54,6728.45,534.2,Excellent
Plastic Scrap,Packaging,Plastic Recycling,17.85,84,172,290.4,40.27,1.17,5183.64,718.82,201.24,920.06,4263.58,463.4,Excellent
Used Oil,Automotive,Authorized Oil Recycler,18.33,96,423,621.0,111.2,1.44,11382.93,2038.3,609.12,2647.42,8735.51,329.96,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,87.13,96,313,1242.0,278.0,2.35,108215.46,24222.14,735.55,24957.69,83257.77,333.6,Excellent
Fly Ash,Thermal Power,Cement,19.82,94,127,95.9,11.28,1.03,1900.74,223.57,130.81,354.38,1546.36,436.36,Excellent
Plastic Scrap,Packaging,Plastic Recycling,41.31,99,306,306.9,36.27,1.19,12678.04,1498.31,364.14,1862.45,10815.59,580.72,Excellent
Paper Sludge,Paper,Brick Manufacturing,27.15,96,474,103.5,12.97,1.12,2810.02,352.14,530.88,883.02,1927.0,218.23,Excellent
Bagasse,Sugar,Paper,17.94,87,132,146.85,17.76,1.59,2634.49,318.61,209.88,528.49,2106.0,398.49,Excellent
Food Waste,Food,Biogas,26.02,71,158,75.3,10.93,1.02,1959.31,284.4,161.16,445.56,1513.75,339.74,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,74.87,75,320,1147.5,320.0,1.49,85913.33,23958.4,476.8,24435.2,61478.13,251.6,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,67.09,80,291,676.0,186.0,1.29,45352.84,12478.74,375.39,12854.13,32498.71,252.83,Excellent
Cotton Scrap,Textile,Paper,26.37,98,113,250.2,31.97,1.95,6597.77,843.05,220.35,1063.4,5534.37,520.44,Excellent
Bagasse,Sugar,Paper,28.08,77,414,141.35,18.96,1.34,3969.11,532.4,554.76,1087.16,2881.95,265.09,Excellent
Fly Ash,Thermal Power,Cement,37.2,91,498,94.85,11.52,1.46,3528.42,428.54,727.08,1155.62,2372.8,205.33,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,53.5,81,37,678.6,184.8,2.28,36305.1,9886.8,84.36,9971.16,26333.94,264.1,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,72.56,71,413,1129.5,328.0,1.38,81956.52,23799.68,569.94,24369.62,57586.9,236.31,Excellent
Used Oil,Automotive,Authorized Oil Recycler,33.42,95,39,618.75,112.0,2.29,20678.62,3743.04,89.31,3832.35,16846.27,439.58,Excellent
Rice Husk,Agriculture,Biofuel,36.33,96,440,131.1,18.53,2.29,4762.86,673.19,1007.6,1680.79,3082.07,183.37,Excellent
Glass Waste,Glass,Glass Recycling,18.8,99,343,139.5,19.95,2.01,2622.6,375.06,689.43,1064.49,1558.11,146.37,Excellent
Paper Sludge,Paper,Brick Manufacturing,20.94,98,119,104.25,12.79,2.42,2183.0,267.82,287.98,555.8,1627.2,292.77,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,84.23,72,281,655.2,195.6,2.31,55187.5,16475.39,649.11,17124.5,38063.0,222.27,Excellent
Used Oil,Automotive,Authorized Oil Recycler,13.5,77,431,578.25,126.4,2.07,7806.38,1706.4,892.17,2598.57,5207.81,200.41,Excellent
Glass Waste,Glass,Glass Recycling,92.03,84,123,132.0,22.15,1.08,12147.96,2038.46,132.84,2171.3,9976.66,459.48,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,32.77,97,254,720.2,165.6,1.48,23600.95,5426.71,375.92,5802.63,17798.32,306.73,Excellent
Steel Slag,Steel,Construction,93.38,76,201,108.8,15.9,1.66,10159.74,1484.74,333.66,1818.4,8341.34,458.72,Excellent
Glass Waste,Glass,Glass Recycling,72.48,95,340,137.5,20.53,1.73,9966.0,1488.01,588.2,2076.21,7889.79,380.01,Excellent
Steel Slag,Steel,Construction,24.57,96,310,117.3,13.9,1.75,2882.06,341.52,542.5,884.02,1998.04,226.02,Excellent
Fly Ash,Thermal Power,Cement,81.75,72,122,88.2,13.04,1.91,7210.35,1066.02,233.02,1299.04,5911.31,455.05,Excellent
Bagasse,Sugar,Paper,38.82,82,320,144.1,18.36,1.33,5593.96,712.74,425.6,1138.34,4455.62,391.41,Excellent
Steel Slag,Steel,Construction,87.09,83,118,111.77,15.2,1.18,9734.05,1323.77,139.24,1463.01,8271.04,565.34,Excellent
Steel Slag,Steel,Construction,80.19,70,263,106.25,16.5,2.33,8520.19,1323.13,612.79,1935.92,6584.27,340.11,Excellent
Cotton Scrap,Textile,Paper,20.31,72,233,226.8,38.03,1.56,4606.31,772.39,363.48,1135.87,3470.44,305.53,Excellent
Cotton Scrap,Textile,Paper,35.03,91,268,243.9,33.6,0.81,8543.82,1177.01,217.08,1394.09,7149.73,512.86,Excellent
Food Waste,Food,Biogas,87.4,75,432,76.5,10.67,2.33,6686.1,932.56,1006.56,1939.12,4746.98,244.8,Excellent
Steel Slag,Steel,Construction,80.59,93,302,116.03,14.2,2.05,9350.86,1144.38,619.1,1763.48,7587.38,430.25,Excellent
Cotton Scrap,Textile,Paper,83.05,92,358,244.8,33.37,2.02,20330.64,2771.38,723.16,3494.54,16836.1,481.78,Excellent
Paper Sludge,Paper,Brick Manufacturing,69.92,97,180,103.88,12.88,0.96,7263.29,900.57,172.8,1073.37,6189.92,576.68,Excellent
Paper Sludge,Paper,Brick Manufacturing,89.72,99,36,104.62,12.69,2.34,9386.51,1138.55,84.24,1222.79,8163.72,667.63,Excellent
Food Waste,Food,Biogas,51.84,79,445,77.7,10.4,1.63,4027.97,539.14,725.35,1264.49,2763.48,218.55,Excellent
Used Oil,Automotive,Authorized Oil Recycler,99.35,92,86,612.0,114.4,1.12,60802.2,11365.64,96.32,11461.96,49340.24,430.47,Excellent
Plastic Scrap,Packaging,Plastic Recycling,24.61,81,270,287.1,41.07,1.01,7065.53,1010.73,272.7,1283.43,5782.1,450.52,Excellent
Plastic Scrap,Packaging,Plastic Recycling,82.67,89,397,295.9,38.93,1.04,24462.05,3218.34,412.88,3631.22,20830.83,573.66,Excellent
Paper Sludge,Paper,Brick Manufacturing,9.93,93,433,102.38,13.25,0.97,1016.63,131.57,420.01,551.58,465.05,84.31,Excellent
Cotton Scrap,Textile,Paper,92.63,85,235,238.5,35.0,2.09,22092.25,3242.05,491.15,3733.2,18359.05,491.78,Excellent
Food Waste,Food,Biogas,75.28,94,264,82.2,9.4,1.47,6188.02,707.63,388.08,1095.71,5092.31,464.75,Excellent
Cotton Scrap,Textile,Paper,98.78,93,272,245.7,33.13,2.33,24270.25,3272.58,633.76,3906.34,20363.91,521.3,Excellent
Fly Ash,Thermal Power,Cement,28.83,75,218,89.25,12.8,1.53,2573.08,369.02,333.54,702.56,1870.52,266.24,Excellent
Cotton Scrap,Textile,Paper,77.09,75,100,229.5,37.33,1.63,17692.16,2877.77,163.0,3040.77,14651.39,481.83,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,60.85,72,162,655.2,195.6,1.73,39868.92,11902.26,280.26,12182.52,27686.4,227.26,Excellent
Paper Sludge,Paper,Brick Manufacturing,88.03,77,312,96.38,14.75,1.62,8484.33,1298.44,505.44,1803.88,6680.45,370.34,Excellent
Steel Slag,Steel,Construction,97.58,82,443,111.35,15.3,1.86,10865.53,1492.97,823.98,2316.95,8548.58,368.96,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,24.16,93,85,709.8,170.4,0.98,17148.77,4116.86,83.3,4200.16,12948.61,308.29,Excellent
Food Waste,Food,Biogas,60.82,86,122,79.8,9.93,2.49,4853.44,603.94,303.78,907.72,3945.72,434.68,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,86.46,77,81,1156.5,316.0,1.62,99990.99,27321.36,131.22,27452.58,72538.41,264.23,Excellent
Food Waste,Food,Biogas,8.07,81,117,78.3,10.27,2.23,631.88,82.88,260.91,343.79,288.09,83.8,Excellent
Used Oil,Automotive,Authorized Oil Recycler,19.31,95,75,618.75,112.0,1.85,11948.06,2162.72,138.75,2301.47,9646.59,419.15,Excellent
Paper Sludge,Paper,Brick Manufacturing,19.56,70,144,93.75,15.4,2.07,1833.75,301.22,298.08,599.3,1234.45,205.98,Excellent
Rice Husk,Agriculture,Biofuel,43.9,94,256,130.15,18.8,1.03,5713.59,825.32,263.68,1089.0,4624.59,424.66,Excellent
Food Waste,Food,Biogas,94.15,78,125,77.4,10.47,1.16,7287.21,985.75,145.0,1130.75,6156.46,544.46,Excellent
Used Oil,Automotive,Authorized Oil Recycler,51.71,88,461,603.0,117.6,1.45,31181.13,6081.1,668.45,6749.55,24431.58,361.97,Excellent
Glass Waste,Glass,Glass Recycling,52.72,81,334,130.5,22.59,1.68,6879.96,1190.94,561.12,1752.06,5127.9,292.68,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,92.67,83,222,683.8,182.4,1.59,63367.75,16903.01,352.98,17255.99,46111.76,267.22,Excellent
Used Oil,Automotive,Authorized Oil Recycler,50.64,88,496,603.0,117.6,0.83,30535.92,5955.26,411.68,6366.94,24168.98,379.6,Excellent
Rice Husk,Agriculture,Biofuel,74.88,82,106,124.45,20.4,0.9,9318.82,1527.55,95.4,1622.95,7695.87,474.19,Excellent
Plastic Scrap,Packaging,Plastic Recycling,87.14,70,289,275.0,44.0,2.25,23963.5,3834.16,650.25,4484.41,19479.09,434.37,Excellent
Cotton Scrap,Textile,Paper,49.0,93,258,245.7,33.13,1.32,12039.3,1623.37,340.56,1963.93,10075.37,513.02,Excellent
Food Waste,Food,Biogas,7.38,96,216,82.8,9.27,1.74,611.06,68.41,375.84,444.25,166.81,37.55,Moderate Profit
Fly Ash,Thermal Power,Cement,20.71,90,167,94.5,11.6,1.91,1957.1,240.24,318.97,559.21,1397.89,249.98,Excellent
Plastic Scrap,Packaging,Plastic Recycling,82.98,70,207,275.0,44.0,1.83,22819.5,3651.12,378.81,4029.93,18789.57,466.25,Excellent
Paper Sludge,Paper,Brick Manufacturing,70.49,90,271,101.25,13.53,1.54,7137.11,953.73,417.34,1371.07,5766.04,420.55,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,51.9,94,445,1233.0,282.0,1.04,63992.7,14635.8,462.8,15098.6,48894.1,323.83,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,40.06,92,217,1224.0,286.0,1.09,49033.44,11457.16,236.53,11693.69,37339.75,319.32,Excellent
Steel Slag,Steel,Construction,74.01,76,46,108.8,15.9,2.03,8052.29,1176.76,93.38,1270.14,6782.15,533.97,Excellent
Plastic Scrap,Packaging,Plastic Recycling,64.65,93,400,300.3,37.87,2.32,19414.4,2448.3,928.0,3376.3,16038.1,475.02,Excellent
Rice Husk,Agriculture,Biofuel,3.12,88,189,127.3,19.6,2.13,397.18,61.15,402.57,463.72,-66.54,-14.35,Loss
Fly Ash,Thermal Power,Cement,80.15,94,322,95.9,11.28,2.07,7686.39,904.09,666.54,1570.63,6115.76,389.38,Excellent
Glass Waste,Glass,Glass Recycling,88.59,78,236,129.0,23.03,2.26,11428.11,2040.23,533.36,2573.59,8854.52,344.05,Excellent
Paper Sludge,Paper,Brick Manufacturing,49.64,84,475,99.0,14.09,1.22,4914.36,699.43,579.5,1278.93,3635.43,284.26,Excellent
Rice Husk,Agriculture,Biofuel,47.22,72,256,119.7,21.73,2.1,5652.23,1026.09,537.6,1563.69,4088.54,261.47,Excellent
Fly Ash,Thermal Power,Cement,89.04,87,257,93.45,11.84,0.96,8320.79,1054.23,246.72,1300.95,7019.84,539.59,Excellent
Used Oil,Automotive,Authorized Oil Recycler,17.09,77,472,578.25,126.4,2.1,9882.29,2160.18,991.2,3151.38,6730.91,213.59,Excellent
Steel Slag,Steel,Construction,89.81,82,139,111.35,15.3,1.15,10000.34,1374.09,159.85,1533.94,8466.4,551.94,Excellent
Fly Ash,Thermal Power,Cement,98.11,96,77,96.6,11.12,2.44,9477.43,1090.98,187.88,1278.86,8198.57,641.08,Excellent
Used Oil,Automotive,Authorized Oil Recycler,2.97,82,277,589.5,122.4,2.05,1750.82,363.53,567.85,931.38,819.44,87.98,Excellent
Rice Husk,Agriculture,Biofuel,35.52,75,95,121.12,21.33,2.39,4302.18,757.64,227.05,984.69,3317.49,336.91,Excellent
Steel Slag,Steel,Construction,49.75,73,232,107.53,16.2,1.9,5349.62,805.95,440.8,1246.75,4102.87,329.09,Excellent
Food Waste,Food,Biogas,26.01,87,176,80.1,9.87,1.95,2083.4,256.72,343.2,599.92,1483.48,247.28,Excellent
Fly Ash,Thermal Power,Cement,43.0,80,156,91.0,12.4,1.23,3913.0,533.2,191.88,725.08,3187.92,439.66,Excellent
Bagasse,Sugar,Paper,91.99,74,163,139.7,19.32,1.9,12851.0,1777.25,309.7,2086.95,10764.05,515.78,Excellent
Rice Husk,Agriculture,Biofuel,36.02,72,390,119.7,21.73,2.05,4311.59,782.71,799.5,1582.21,2729.38,172.5,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,96.73,80,51,1170.0,310.0,1.48,113174.1,29986.3,75.48,30061.78,83112.32,276.47,Excellent
Fly Ash,Thermal Power,Cement,4.41,81,347,91.35,12.32,1.39,402.85,54.33,482.33,536.66,-133.81,-24.93,Loss
Glass Waste,Glass,Glass Recycling,34.76,91,15,135.5,21.12,2.06,4709.98,734.13,30.9,765.03,3944.95,515.66,Excellent
Glass Waste,Glass,Glass Recycling,31.56,99,461,139.5,19.95,0.95,4402.62,629.62,437.95,1067.57,3335.05,312.4,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,62.98,97,119,1246.5,276.0,1.34,78504.57,17382.48,159.46,17541.94,60962.63,347.53,Excellent
Steel Slag,Steel,Construction,58.66,78,455,109.65,15.7,1.9,6432.07,920.96,864.5,1785.46,4646.61,260.25,Excellent
Cotton Scrap,Textile,Paper,43.55,91,231,243.9,33.6,1.89,10621.84,1463.28,436.59,1899.87,8721.97,459.08,Excellent
Bagasse,Sugar,Paper,47.06,99,350,153.45,16.32,1.23,7221.36,768.02,430.5,1198.52,6022.84,502.52,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,98.04,72,35,655.2,195.6,2.31,64235.81,19176.62,80.85,19257.47,44978.34,233.56,Excellent
Food Waste,Food,Biogas,92.28,86,253,79.8,9.93,1.74,7363.94,916.34,440.22,1356.56,6007.38,442.84,Excellent
Used Oil,Automotive,Authorized Oil Recycler,87.46,99,451,627.75,108.8,1.0,54903.01,9515.65,451.0,9966.65,44936.36,450.87,Excellent
Cotton Scrap,Textile,Paper,79.13,95,379,247.5,32.67,2.06,19584.67,2585.18,780.74,3365.92,16218.75,481.85,Excellent
Used Oil,Automotive,Authorized Oil Recycler,62.96,83,193,591.75,121.6,1.01,37256.58,7655.94,194.93,7850.87,29405.71,374.55,Excellent
Food Waste,Food,Biogas,55.52,75,381,76.5,10.67,0.88,4247.28,592.4,335.28,927.68,3319.6,357.84,Excellent
Bagasse,Sugar,Paper,23.25,81,24,143.55,18.48,1.42,3337.54,429.66,34.08,463.74,2873.8,619.7,Excellent
Fly Ash,Thermal Power,Cement,64.68,98,368,97.3,10.96,1.35,6293.36,708.89,496.8,1205.69,5087.67,421.97,Excellent
Food Waste,Food,Biogas,64.15,92,167,81.6,9.53,2.0,5234.64,611.35,334.0,945.35,4289.29,453.73,Excellent
Rice Husk,Agriculture,Biofuel,18.42,82,344,124.45,20.4,1.92,2292.37,375.77,660.48,1036.25,1256.12,121.22,Excellent
Used Oil,Automotive,Authorized Oil Recycler,49.21,88,359,603.0,117.6,1.9,29673.63,5787.1,682.1,6469.2,23204.43,358.69,Excellent
Bagasse,Sugar,Paper,65.2,94,152,150.7,16.92,1.65,9825.64,1103.18,250.8,1353.98,8471.66,625.69,Excellent
Used Oil,Automotive,Authorized Oil Recycler,17.3,77,56,578.25,126.4,1.55,10003.73,2186.72,86.8,2273.52,7730.21,340.01,Excellent
Paper Sludge,Paper,Brick Manufacturing,17.22,94,154,102.75,13.16,1.45,1769.35,226.62,223.3,449.92,1319.43,293.26,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,65.4,76,424,665.6,190.8,0.81,43530.24,12478.32,343.44,12821.76,30708.48,239.5,Excellent
Rice Husk,Agriculture,Biofuel,97.94,75,209,121.12,21.33,0.93,11862.49,2089.06,194.37,2283.43,9579.06,419.5,Excellent
Cotton Scrap,Textile,Paper,65.37,72,498,226.8,38.03,1.97,14825.92,2486.02,981.06,3467.08,11358.84,327.62,Excellent
Bagasse,Sugar,Paper,29.38,96,490,151.8,16.68,2.34,4459.88,490.06,1146.6,1636.66,2823.22,172.5,Excellent
Plastic Scrap,Packaging,Plastic Recycling,35.15,94,468,301.4,37.6,1.96,10594.21,1321.64,917.28,2238.92,8355.29,373.18,Excellent
Plastic Scrap,Packaging,Plastic Recycling,47.08,99,435,306.9,36.27,2.12,14448.85,1707.59,922.2,2629.79,11819.06,449.43,Excellent
Plastic Scrap,Packaging,Plastic Recycling,76.57,93,124,300.3,37.87,1.5,22993.97,2899.71,186.0,3085.71,19908.26,645.18,Excellent
Paper Sludge,Paper,Brick Manufacturing,7.19,70,251,93.75,15.4,2.34,674.06,110.73,587.34,698.07,-24.01,-3.44,Loss
Fly Ash,Thermal Power,Cement,56.11,91,452,94.85,11.52,0.84,5322.03,646.39,379.68,1026.07,4295.96,418.68,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,81.0,76,491,1152.0,318.0,1.21,93312.0,25758.0,594.11,26352.11,66959.89,254.1,Excellent
Food Waste,Food,Biogas,34.85,99,114,83.7,9.07,2.42,2916.95,316.09,275.88,591.97,2324.98,392.75,Excellent
Cotton Scrap,Textile,Paper,44.09,88,306,241.2,34.3,1.73,10634.51,1512.29,529.38,2041.67,8592.84,420.87,Excellent
Fly Ash,Thermal Power,Cement,62.53,97,176,96.95,11.04,0.93,6062.28,690.33,163.68,854.01,5208.27,609.86,Excellent
Cotton Scrap,Textile,Paper,1.34,71,425,225.9,38.27,0.91,302.71,51.28,386.75,438.03,-135.32,-30.89,Loss
Glass Waste,Glass,Glass Recycling,48.74,70,282,125.0,24.2,2.17,6092.5,1179.51,611.94,1791.45,4301.05,240.09,Excellent
Rice Husk,Agriculture,Biofuel,61.49,82,101,124.45,20.4,2.46,7652.43,1254.4,248.46,1502.86,6149.57,409.19,Excellent
Glass Waste,Glass,Glass Recycling,66.43,87,189,133.5,21.71,1.47,8868.41,1442.2,277.83,1720.03,7148.38,415.6,Excellent
Bagasse,Sugar,Paper,34.4,83,48,144.65,18.24,2.41,4975.96,627.46,115.68,743.14,4232.82,569.59,Excellent
Food Waste,Food,Biogas,11.71,82,345,78.6,10.2,1.55,920.41,119.44,534.75,654.19,266.22,40.69,High Profit
Plastic Scrap,Packaging,Plastic Recycling,80.62,73,188,278.3,43.2,0.94,22436.55,3482.78,176.72,3659.5,18777.05,513.1,Excellent
Fly Ash,Thermal Power,Cement,15.47,98,315,97.3,10.96,1.0,1505.23,169.55,315.0,484.55,1020.68,210.64,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,34.87,99,426,725.4,163.2,1.97,25294.7,5690.78,839.22,6530.0,18764.7,287.36,Excellent
Steel Slag,Steel,Construction,31.94,91,382,115.17,14.4,2.35,3678.53,459.94,897.7,1357.64,2320.89,170.95,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,29.09,94,485,1233.0,282.0,1.45,35867.97,8203.38,703.25,8906.63,26961.34,302.71,Excellent
Fly Ash,Thermal Power,Cement,54.55,98,17,97.3,10.96,1.06,5307.71,597.87,18.02,615.89,4691.82,761.8,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,30.81,97,176,1246.5,276.0,1.26,38404.67,8503.56,221.76,8725.32,29679.35,340.15,Excellent
Rice Husk,Agriculture,Biofuel,28.04,90,383,128.25,19.33,2.01,3596.13,542.01,769.83,1311.84,2284.29,174.13,Excellent
Cotton Scrap,Textile,Paper,72.46,99,352,251.1,31.73,1.11,18194.71,2299.16,390.72,2689.88,15504.83,576.41,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,5.18,84,211,686.4,181.2,2.49,3555.55,938.62,525.39,1464.01,2091.54,142.86,Excellent
Fly Ash,Thermal Power,Cement,20.19,74,367,88.9,12.88,2.42,1794.89,260.05,888.14,1148.19,646.7,56.32,High Profit
Plastic Scrap,Packaging,Plastic Recycling,19.83,99,267,306.9,36.27,0.94,6085.83,719.23,250.98,970.21,5115.62,527.27,Excellent
